host_id,longitude,room_type,minimum_nights,calculated_host_listings_count,availability_365,price
5187497.0,-73.91516,0.0,1.0,2.0,0.0,50
31907981.0,-73.94238,0.0,3.0,1.0,0.0,80
28000421.0,-73.9436,0.0,1.0,2.0,0.0,100
11127879.0,-73.9288,0.0,3.0,2.0,359.0,79
2266961.0,-73.90968,1.0,3.0,1.0,0.0,120
159239228.0,-73.98661,1.0,4.0,1.0,158.0,190
8750186.0,-73.96087,0.0,7.0,1.0,0.0,69
87766324.0,-73.93497,1.0,2.0,2.0,30.0,499
60995455.0,-73.99647,0.0,1.0,1.0,0.0,69
182295691.0,-73.95508,1.0,5.0,1.0,25.0,150
259261655.0,-73.91952,1.0,1.0,1.0,25.0,150
22051363.0,-73.94791,0.0,1.0,1.0,0.0,50
173290675.0,-73.85158,0.0,2.0,3.0,330.0,40
7455706.0,-73.97813,0.0,5.0,2.0,8.0,90
205745676.0,-73.82099,0.0,1.0,9.0,189.0,80
709334.0,-73.94688,1.0,2.0,2.0,264.0,295
3148366.0,-73.95377,0.0,3.0,1.0,0.0,55
20790185.0,-73.98374,2.0,2.0,1.0,5.0,90
16424639.0,-73.92349,1.0,4.0,1.0,13.0,87
181673933.0,-73.95382,0.0,1.0,1.0,341.0,100
75085688.0,-73.9613,1.0,2.0,1.0,2.0,150
104927746.0,-74.08645,0.0,4.0,7.0,333.0,32
15094887.0,-73.95355,1.0,5.0,1.0,0.0,150
229115651.0,-73.92908,0.0,5.0,1.0,0.0,50
4205284.0,-73.98652,1.0,2.0,1.0,53.0,240
92706260.0,-73.81549,0.0,1.0,5.0,79.0,48
2675998.0,-73.91537,0.0,2.0,2.0,0.0,65
269215864.0,-73.99004,1.0,4.0,1.0,95.0,299
10730227.0,-73.99513,1.0,3.0,1.0,0.0,162
6346333.0,-73.98517,0.0,1.0,2.0,0.0,180
224317523.0,-73.98282,1.0,5.0,1.0,74.0,285
57573249.0,-73.93927,1.0,1.0,2.0,0.0,185
5894425.0,-73.9949,1.0,2.0,1.0,193.0,200
89509928.0,-73.98341,0.0,3.0,1.0,0.0,120
225025900.0,-73.90662,0.0,1.0,2.0,358.0,80
234483148.0,-73.94853,0.0,1.0,2.0,256.0,95
243687825.0,-73.90862,1.0,1.0,1.0,174.0,104
112799848.0,-73.98912,0.0,1.0,3.0,157.0,99
4273661.0,-73.93536,1.0,2.0,1.0,0.0,150
2402292.0,-73.92863,1.0,2.0,1.0,309.0,155
2334794.0,-73.97734,1.0,1.0,1.0,41.0,160
4549440.0,-73.93944,0.0,1.0,1.0,0.0,37
1870841.0,-73.97021,1.0,3.0,1.0,0.0,130
240584.0,-73.93602,1.0,3.0,1.0,0.0,100
2981481.0,-73.99618,0.0,2.0,1.0,61.0,80
75285802.0,-73.94523,1.0,4.0,2.0,35.0,150
60446325.0,-73.96403,0.0,2.0,1.0,333.0,54
7181263.0,-73.94272,0.0,1.0,2.0,81.0,98
265278.0,-73.94692,0.0,3.0,1.0,87.0,68
187861161.0,-73.93269,0.0,5.0,1.0,0.0,34
15960720.0,-73.96571,0.0,10.0,1.0,0.0,40
10695335.0,-73.93425,1.0,2.0,1.0,358.0,160
54986261.0,-73.83172,0.0,2.0,1.0,335.0,75
22486.0,-73.97643,0.0,1.0,6.0,258.0,60
24595687.0,-73.96317,0.0,7.0,1.0,0.0,75
222559543.0,-73.87731,0.0,1.0,2.0,54.0,29
6947307.0,-73.94194,0.0,1.0,1.0,0.0,75
5064974.0,-73.99753,1.0,6.0,1.0,0.0,180
6263296.0,-73.9188,0.0,1.0,1.0,0.0,50
